apple,560
apricot,560
asparagus,560
avocado,560
arugula,560
artichoke,560
banana,560
basil,560
bean,560
beetroot,560
blueberry,560
broccoli,560
butternut_squash,560
cabbage,560
cantaloupe,710
carrot,560
cauliflower,560
celery,560
cherry,560
chili_pepper,560
cilantro,560
corn,560
cucumber,560
dragon_fruit,560
dill,560
date,560
eggplant,560
fig,560
fennel,560
grape,560
grapefruit,560
kiwi,560
kale,560
lemon,560
lime,560
lettuce,560
mango,560
mint,560
nectarine,560
onion,560
orange,560
okra,560
peach,560
peanut,560
pear,560
pomegranate,560
persimmon,560
pineapple,560
plum,560
pumpkin,560
radish,560
raspberry,560
sweet_potato,2900
sage,560
spinach,560
squash,560
swiss_chard,560
tangerine,560
tomato,560
turnip,560
yams,2900
zucchini,560
